"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0.00115512494837564,-0.581607395290956,0.7,0.95,1,"Treated","ITGB8"
0.00115533289370899,-0.48154099025387,0.25,0.617,1,"Treated","AC018645.3"
0.00116035143870276,1.21414037714937,0.333,0.117,1,"Treated","HGFAC"
0.00116261639547072,-0.462421755190198,0.833,0.967,1,"Treated","ARID2"
0.00116539456937985,0.755930730595807,0.8,0.817,1,"Treated","CLEC18B"
0.00116617301099602,-0.687021643367322,0.167,0.467,1,"Treated","LGALS9"
0.0011684149601568,0.470015466895586,0.9,1,1,"Treated","CUEDC1"
0.00116922504069951,-0.359114121854829,0.983,1,1,"Treated","MED4"
0.00116922504069951,0.203915871876267,1,1,1,"Treated","PNMA1"
0.00116922504069951,0.267000469908247,1,1,1,"Treated","FAM234A"
0.00116922504069951,-0.159097111691158,1,1,1,"Treated","NDUFA7"
0.00117359923233771,-0.540164971705639,0.683,0.9,1,"Treated","HEATR6"
0.00118002683857269,0.492913166956778,0.983,0.983,1,"Treated","AP5Z1"
0.00118243051618046,-0.406365486672575,0.833,0.95,1,"Treated","RPAP3"
0.00118793858086598,-0.55986589470894,0.033,0.25,1,"Treated","EFCAB5"
0.00119087379920129,-0.421588530676594,0.95,1,1,"Treated","DCAF15"
0.00119094432658539,-0.297579366023145,0.967,1,1,"Treated","ZNF280D"
0.00119094432658539,0.313163293327675,0.967,1,1,"Treated","ARFGAP1"
0.00119096783632605,-0.30934774614704,0.983,1,1,"Treated","OARD1"
0.00119096783632605,-0.37707518871988,0.983,1,1,"Treated","ASPH"
0.00119096783632605,-0.323996798329225,0.983,1,1,"Treated","USP10"
0.00119096783632605,-0.318316185960494,0.983,1,1,"Treated","UBE2A"
0.00119375146075386,1.039834016851,0.683,0.617,1,"Treated","ARSF"
0.00120111684017062,-0.534841033912087,0.783,0.917,1,"Treated","TOP3A"
0.00121174719303306,-0.389914782608131,0.9,0.983,1,"Treated","ALG8"
0.0012129881677555,0.513024781207611,1,0.95,1,"Treated","CHPF"
0.00121308366202742,-0.338841658978994,0.983,1,1,"Treated","METTL17"
0.00121308366202742,0.204226125916682,1,1,1,"Treated","TTL"
0.00121308366202742,0.361359893555025,1,1,1,"Treated","MLLT3"
0.00121866764111862,-0.559327554050586,0.05,0.283,1,"Treated","ST3GAL6-AS1"
0.00122651332473512,0.7819921370743,0.683,0.633,1,"Treated","STOM"
0.00122686428967462,-0.417832157651962,0.1,0.383,1,"Treated","AL358472.2"
0.00122686428967462,-0.459231836929128,0.1,0.383,1,"Treated","BNC2"
