"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0.0584665271799129,-0.116821444892838,0.05,0.167,1,"Treated","AC012360.1"
0.0584665271799129,-0.108781917768106,0.05,0.167,1,"Treated","AC092354.1"
0.0584665271799129,-0.123633273601856,0.05,0.167,1,"Treated","AC079949.1"
0.05847309046484,-0.106432433201201,1,1,1,"Treated","HPCAL1"
0.05847309046484,0.100035513791407,1,1,1,"Treated","TOMM7"
0.05847309046484,-0.0870488135350199,1,1,1,"Treated","SMARCE1"
0.05847309046484,-0.140515780568017,1,1,1,"Treated","VMP1"
0.05847309046484,-0.161291796878432,1,1,1,"Treated","AKAP8L"
0.05847309046484,0.20586172204658,1,1,1,"Treated","MANBAL"
0.0584774819432704,-0.257386480589165,0.5,0.767,1,"Treated","CABYR"
0.0585215972164055,-0.318896390569383,0.583,0.883,1,"Treated","DMD"
0.0585646190860682,0.626174232772952,0.483,0.433,1,"Treated","AC006504.7"
0.058610473032867,-0.19825040748109,0.433,0.667,1,"Treated","EPHX4"
0.0587072528249554,-0.120264125537629,0.1,0.25,1,"Treated","ELOVL7"
0.0587072528249554,-0.0923825919484456,0.1,0.25,1,"Treated","AC109322.1"
0.0587510716131773,-0.132726211133098,0.883,0.95,1,"Treated","MIOS"
0.0587866395633437,0.373463455640992,0.917,0.95,1,"Treated","RCAN1"
0.0588226037337213,-0.0469204935294876,0.217,0.45,1,"Treated","MIMT1"
0.0588455147069133,-0.13271367217185,0.35,0.633,1,"Treated","LINC02440"
0.0589088286468272,-0.103926568502834,0.033,0.133,1,"Treated","COLEC11"
0.0589088286468272,-0.167452119339493,0.033,0.133,1,"Treated","C6orf223"
0.0589088286468272,-0.169117228275263,0.033,0.133,1,"Treated","FAM180A"
0.0589088286468272,-0.104743407539169,0.033,0.133,1,"Treated","AK8"
0.0589088286468272,-0.100771172288574,0.033,0.133,1,"Treated","AC138474.1"
0.0589289641787625,-0.29615011229802,0.783,0.967,1,"Treated","AC012615.1"
0.0589730123789757,0.934483546368973,0.317,0.217,1,"Treated","SNORC"
0.0590496751384379,0.303109030688706,0.9,0.9,1,"Treated","WDTC1"
0.0591510268922912,0.336556983733599,0.917,0.967,1,"Treated","TRIM22"
0.0591712999727999,0.268015271551956,0.967,0.967,1,"Treated","RCE1"
0.0591757072843377,0.255156827364645,0.983,1,1,"Treated","KIAA0040"
0.0591757072843377,0.178880802851275,1,0.983,1,"Treated","HMG20A"
0.0591757072843377,-0.154472692355313,1,1,1,"Treated","SDHB"
0.0591757072843377,0.0646988911029092,1,1,1,"Treated","SARS"
0.0591757072843377,-0.160376128459591,1,1,1,"Treated","AC008780.1"
0.0591757072843377,-0.200993236044819,1,1,1,"Treated","CIT"
0.0591757072843377,0.143009206453381,1,1,1,"Treated","HERC2"
0.0592193339464896,-0.24555639926435,0.683,0.917,1,"Treated","MEF2B"
0.0592314878440032,-0.236227921344409,0.617,0.85,1,"Treated","NOTCH2"
0.0592953352068306,-0.265217862839034,0.767,0.9,1,"Treated","FGD6"
0.0593509778693197,0.483287333855892,0.7,0.75,1,"Treated","LAG3"
0.0593795722712079,0.321556934799911,0.817,0.867,1,"Treated","TAPT1"
0.0593813418872721,0.68297742542253,0.15,0.05,1,"Treated","LINC01983"
0.0594924829384645,-0.302949838217513,0.883,0.983,1,"Treated","GABPA"
0.0595252119323456,0.301019017818908,0.95,0.983,1,"Treated","NBAS"
0.0595291926436608,-0.238941288165381,0.983,0.983,1,"Treated","UBE2E2"
0.0595426139182937,-0.340363025513102,0.083,0.217,1,"Treated","C3orf52"
0.0595426139182937,-0.281310638479763,0.083,0.217,1,"Treated","AL139274.2"
0.0596651147023143,-0.0972823920538142,0.217,0.45,1,"Treated","LEF1"
0.0597583857545819,0.250635628054787,0.833,0.967,1,"Treated","PLA2G4B"
0.0597876745618093,0.318469152394673,0.85,0.967,1,"Treated","GCC1"
0.0598320550184304,0.318753235141928,0.9,0.95,1,"Treated","MYO5A"
0.0598627178473935,-0.26611836555436,0.467,0.683,1,"Treated","CNTN4"
0.0598835415823155,-0.168627771699018,0.95,1,1,"Treated","COMMD10"
0.0598835415823155,-0.200556837349531,0.967,0.983,1,"Treated","CISD3"
0.0598853170811568,0.220111529569271,0.983,1,1,"Treated","MED21"
0.0598853170811568,-0.128508259747505,1,1,1,"Treated","TUBGCP2"
0.0598853170811568,0.190498140136216,1,1,1,"Treated","ELP2"
0.0602423144731986,-0.144865358078212,0.983,0.983,1,"Treated","TMX4"
0.0602980871333702,-0.457310718489226,0.8,0.933,1,"Treated","AL450998.2"
0.0603363483451188,0.864748857708682,0.167,0.067,1,"Treated","AF038458.2"
0.0603916781106052,-0.0614160864184159,0.033,0.133,1,"Treated","LINC01732"
0.0603916781106052,-0.139392006758077,0.033,0.133,1,"Treated","AL451007.2"
0.0603916781106052,-0.0565562516850031,0.033,0.133,1,"Treated","NKAPL"
0.0603916781106052,-0.0642626676763456,0.033,0.133,1,"Treated","AC007656.1"
0.06040110438272,-0.357914640591073,0.6,0.783,1,"Treated","KLHL13"
0.06040110438272,0.437132794909675,0.7,0.683,1,"Treated","ATP7A"
