row_id,mz,rt.min
7323,496.421,3.231
52945,384.1149,15.2135
69676,274.9174,19.4032
58821,273.0372,16.8248
54349,497.0842,15.8494
54362,383.0413,15.5359
71331,239.1061,21.0123
54576,489.1146,15.5674
21232,363.1626,5.7768
58183,532.0712,15.9733
72178,249.0705,23.3871
3506,934.6401,2.8847
65956,452.8086,19.391
47849,288.0517,13.1683
12870,577.5192,2.9324
29870,236.0154,8.3168
31201,668.0966,8.4167
52419,407.157,14.7705
2378,932.6248,2.8851
4376,1001.6859,3.2293
52173,512.0807,14.7218
48787,705.2455,11.2701
32584,1281.2557,8.48
71927,407.171,22.7011
60207,386.0526,16.5985
70060,696.5848,21.2468
40386,732.2565,11.1189
40475,501.1715,11.1343
29601,998.2712,8.2947
15546,349.1833,4.48
30696,480.243,8.0188
46120,667.2254,12.7797
2842,1224.7916,2.9085
41679,84.0807,12.4597
70171,646.5921,21.2442
41346,710.2743,11.1785
55664,453.1077,15.9961
71058,372.8337,20.4703
35429,306.9073,10.232
48630,599.1427,13.2519
26705,448.211,7.7371
70034,372.7564,21.1558
41092,841.2591,11.1455
23573,249.0905,6.7351
57020,445.0716,16.7292
69054,462.8266,20.3987
55509,432.1116,15.9507
59904,223.0778,16.8789
20310,443.2322,5.3737
40184,1787.9967,10.9265
6527,914.6411,3.0911
28252,626.3121,8.1043
55264,56.9648,15.921
63878,446.8522,19.4333
35016,160.0968,8.6465
36961,548.2968,10.2282
14107,540.5354,3.1232
47916,390.1485,13.1916
3303,752.4948,2.9313
54313,369.0407,15.5588
36041,516.3088,9.7071
45967,130.086,12.7147
57958,314.0713,16.8017
9526,686.1823,3.0583
51124,245.1609,12.9309
58267,401.0194,16.8546
3723,749.4447,2.9975
38551,1194.8173,9.559
29414,355.1534,8.3981
70337,536.6823,21.3314
60480,851.2638,17.7438
48057,474.1173,12.9671
61068,635.1555,16.8914
60146,690.917,17.4689
3107,705.2114,2.909
65005,1206.6329,19.164
42884,175.0016,10.7386
63954,1078.6867,19.1663
3201,1120.7168,2.9327
56789,227.0638,15.9834
37976,202.9916,10.6685
7354,319.2268,3.4417
20232,412.2107,7.6174
55688,679.177,15.851
4968,999.6718,3.3942
10912,685.2589,3.7007
58073,976.6678,19.1541
50589,543.1833,13.9651
52713,436.0115,14.8631
2240,969.614,3.1735
29050,198.0594,8.3179
69759,250.8102,21.7165
5769,918.7389,3.1832
41058,499.1864,11.1598
57354,299.0286,16.4832
65264,1100.6682,19.1594
52722,310.0868,14.9094
40248,1191.5005,11.0901
61084,843.0452,16.4721
16103,305.1572,4.726
65363,1082.632,19.1341
7356,1138.755,2.8894
70861,356.7781,21.3831
48522,437.2506,11.9635
53987,134.0188,15.4035
16934,1370.81,3.3702
30476,1194.3309,8.3535
49229,419.0752,13.0477
58374,516.095,16.281
4654,1034.7083,3.1618
70911,616.6283,21.3764
7758,565.1279,3.5215
62661,530.829,19.1687
50842,739.0974,14.094
72063,129.1022,22.3886
26028,403.1644,7.5101
43821,345.1147,11.8732
63403,420.8751,18.6399
58208,249.0459,15.9833
15400,605.5506,2.9029
58247,295.9707,16.6573
2024,387.2893,2.8567
29505,475.1858,8.244
63629,1250.6237,18.6936
70452,956.4374,20.9414
57957,292.0879,16.9285
52809,541.1613,14.8146
27299,399.1793,7.7825
40972,761.2634,11.1187
53760,189.1234,15.084
5943,626.2154,2.9399
39607,665.2533,10.9806
8705,563.2276,2.9697
48683,322.1068,13.4348
11924,609.3885,3.9199
58875,584.8801,17.0818
58569,225.0185,17.1481
62866,1144.6322,19.1637
65500,326.0612,19.1862
59496,427.001,16.3802
58279,713.1036,16.6625
58776,313.0328,16.7202
26975,490.2217,7.742
61254,368.1149,17.8005
55654,767.1045,15.7396
73147,176.1222,24.0479
14399,451.138,4.2318
8088,751.5116,3.3212
47903,310.0336,13.1513
17682,658.4528,3.0085
35491,256.1756,9.2199
34923,137.0587,9.6073
5524,749.4258,2.8857
47070,313.067,12.7909
29334,485.2277,8.2506
2182,986.6412,2.9193
4053,505.087,2.9778
58511,624.9974,16.7907
4510,523.5281,3.0053
55905,597.093,16.0275
10780,806.6503,3.0407
58742,609.0081,16.2936
3759,351.253,3.3476
47199,409.2117,10.8465
56050,347.0097,15.9745
4214,855.3684,3.6312
4452,592.5747,2.9364
61133,701.0955,16.3638
41596,501.1917,11.0914
58021,332.0627,16.6092
57961,522.2138,15.913
33322,385.148,9.1085
59652,462.8753,17.0967
40017,723.2894,11.0616
57112,130.0497,15.6186
46997,59.0676,13.0066
26213,290.1865,7.1423
38460,486.8505,12.505
22245,257.1498,7.2649
57329,277.0466,16.4819
6156,777.5701,3.0045
24889,340.1478,6.5438
60321,413.0141,17.4386
45258,275.1239,12.4395
26576,270.0174,7.7858
20390,432.2802,4.3142
12618,955.5699,3.0458
54376,276.1191,15.9551
10263,255.1229,3.5744
72034,280.1273,22.7701
70747,438.7238,21.3869
1950,903.3783,2.829
20587,426.1808,5.7923
3958,1133.6957,3.0953
46053,412.2107,11.8599
52748,1032.1691,15.1804
42434,514.3124,11.1491
47985,311.1272,13.2625
51642,553.1691,14.4106
6177,309.181,3.657
3448,1216.75,2.9265
54046,347.9807,15.5008
60462,383.8764,16.5173
15660,342.2387,4.512
53133,292.0359,15.4195
7290,452.3009,3.5092
59023,562.8975,16.9835
63290,552.8179,18.4512
56722,117.0548,16.3058
21330,265.1548,4.7816
61651,846.3083,17.6374
65618,1188.5961,19.1716
59646,440.8929,16.9194
4561,908.7185,3.009
58775,305.0038,16.002
